Entry_ID,Lemma_Term,Language_Variety,Dialect_Region,Part_of_Speech,English_Gloss,Cultural_Domain,Cultural_Construct,Sub_Facet,Normative_Valence,Morphology_Root,Cultural_Psychological_Definition,Context_Pragmatic_Usage,Sample_Proverb_Expression,Proverb_Translation,Alternative_Spellings,Region_Community,Confidence,Validation_Status
GCL-TWI-0001,Abusua,Twi,Asante / Akuapem,Noun,Matrilineal clan / Extended family / Kinship unit,Language & Culture,Collectivism / Interdependence,In-group Entitativity & Shared Identity,Prescriptive (Virtue),Abusua (maternal blood lineage / Mogya),"The corporate matrilineal kin group; the fundamental ontological unit of identity, mutual insurance, and moral accountability in Akan society.","Invoked to resolve internal disputes, demand mutual loyalty, and mandate funerary/crisis participation.","Abusua te sɛ kwaeɛ, wowɔ akyire a ɛyɛ kusuu, wokɔ mu a na wohunu sɛ dua biara si ne siberɛ.","The family is like a forest: from afar it looks dense and indivisible, but inside every tree stands in its own place.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0002,Nnoboa,Twi,Asante / Akuapem,Noun,Mutual cooperative labor / Reciprocal farm assistance,Language & Culture,Collectivism / Interdependence,Communal Sharing & Reciprocity,Prescriptive (Virtue),nno-boa (collective labor aid),"Traditional rotating communal labor system where community members cultivate each other's farms without wages, embodying relational mutualism.","Used to mobilize community members for communal projects, civic duties, or mutual aid.",Nsa baako nkura adesoa.,One hand alone cannot carry a heavy load.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0003,Nkabom,Twi,Asante / Akuapem,Noun,Unity / Cohesion / Solidarity / Synthesis,Language & Culture,Collectivism / Interdependence,Social Harmony & Consensus,Prescriptive (Virtue),n-ka-bom (joining/binding together),The harmonious integration of disparate community members into an undivided collective whole; foundational to consensus democracy.,"Core rhetorical trope in chieftaincy arbitration, national solidarity appeals, and town councils.",Nkabom mu na ahoɔden wɔ.,In unity lies indestructible collective strength.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0004,Biakoyɛ,Twi,Asante / Akuapem,Noun,Oneness / Collective solidarity / Acting in unison,Language & Culture,Collectivism / Interdependence,In-group Alignment & Cooperative Agency,Prescriptive (Virtue),biako-yɛ (one-making / acting as one),Unified collective agency prioritizing community well-being over sectional or egoistic interests.,Applied to encourage teamwork and eliminate interpersonal factionalism.,"Baanu so a, emmia.","When two people carry a heavy load together, it does not pinch or crush them.",,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0005,Onipa nua ne nipa,Twi,General Akan,Idiomatic Proverb,Every human is the sibling of human / Universal humanism,Language & Culture,Collectivism & African Humanism,Universalized Communal Interdependence,Prescriptive (Axiom),onipa (human) + nua (sibling) + ne (is) + nipa (human),The moral apex of Akan philosophy (Gyekye/Wiredu): every human possesses divine dignity (Okra) and is entitled to kinship obligations.,"Invoked as the highest moral argument for hospitality, stranger protection, and humanitarian assistance.",Onipa nua ne nipa; obi nnyaa ne yɔnko wɔ amanehunu mu.,A fellow human is one's sibling; no one should abandon their fellow traveler in distress.,,General Akan, Reviewed,Approved
GCL-TWI-0006,Ayamye (or Ayamhyehyeɛ),Twi,Asante / Akuapem,Noun,Generosity / Benevolence / Deep empathy,Language & Culture,Collectivism / Interdependence,Compassionate Communal Care,Prescriptive (Virtue),ayam (stomach/womb/seat of emotion) + ye (goodness),Spontaneous benevolence and deep visceral empathy toward community members in hardship.,"Pinnacle virtue expected of chiefs, wealthy benefactors, and community elders.",Ayamye nti na aboa adanko kɔe kɔtoo n'asaso mu.,It is out of pure benevolence that the hare gave up its shelter.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0007,Ayɔnkofa,Twi,Asante / Akuapem,Noun,Fellowship / Non-kin brotherhood / Deep companionship,Language & Culture,Collectivism / Interdependence,Relational Embeddedness & Alliance,Prescriptive (Virtue),ayɔnko (companion/friend) + fa (holding/taking),Active relational maintenance that weaves non-kin individuals into dependable social networks.,"Refers to steadfast, multi-generational familial and peer alliances.",Ayɔnkofa pa na ɛma abusua tim.,Enduring fellowship is what stabilizes the extended community.,,Asante / Akuapem, Reviewed,Approved
GCL-TWI-0008,Asafo,Twi,Fante / Asante / Akuapem,Noun,Civic warrior group / Communal youth association,Language & Culture,Collectivism / Interdependence,Civic Mobilization & Mutual Defense,Prescriptive (Civic Institution),sa (war/work) + fo (people),"Traditional civic and military organizations responsible for community defense, disaster management, and public works.","Invoked during communal labor, civic emergencies, and traditional festivals.","Asafo kɔ a, wɔkɔ biako.","When the communal company marches, it moves as a unified body.",,Fante / Asante / Akuapem, Reviewed,Approved
GCL-TWI-0009,Amansan,Twi,General Akan,Noun,The public / Humanity / The entire commonwealth,Language & Culture,Collectivism & African Humanism,Universal Public Interest,Prescriptive (Collective Entity),ɔman (nation/state) + san (all/spread),"The collective body of humanity or the nation, whose welfare supersedes any private ambition.","Used in civic debates, royal declarations, and public service ethics.",Amansan nyinaa yɛ Onyame mma.,All citizens of the commonwealth are the children of God.,,General Akan, Reviewed,Approved
GCL-TWI-0010,Agyinatuo,Twi,Asante / Akuapem,Noun,Communal consultation / Deliberative caucus / Consensus council,Language & Culture,Collectivism & Consensus Politics,Participatory Governance & Co-deliberation,Prescriptive (Institutional Process),gyina (to stand/take position) + tuo (shooting/deliberating),The formal caucus in Akan governance where leaders deliberate behind closed doors until unanimous consensus is achieved.,"Invoked in family inheritance meetings, court trials, and community arbitrations.",Agyinatuo mu na asɛm gye.,It is in collective deliberative caucus that difficult disputes are resolved.,,Asante / Akuapem, Reviewed,Approved
